dataType,function1,snapshot1,function2,snapshot2,euclidean,dtw-python-distance,dtw-python-normalizedDistance,dtaidistance,lcss_similarity,is_normalized,is_smoothed,size1,size2,udf1,udf2
CPU,filtration,0,filtration-aggregation-join,0,1188.683481840309,5377.000000000003,4.200781250000002,475.9545041282844,0.6765625,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDateWhereYearAfter2000
RAM,filtration,0,filtration-aggregation-join,0,264.7375115090417,3043.1000000000195,2.377421875000015,128.34441943458194,0.2375,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,avgNetProfitGroupedBySoldDateWhereYearAfter2000
CPU,filtration,0,filtration-join,0,998.5455372690822,4253.399999999997,10.79543147208121,465.8144802386462,0.583756345177665,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
RAM,filtration,0,filtration-join,0,60.16111701090664,287.2999999999996,0.7291878172588823,35.10085469044877,0.7715736040609137,0,0,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
CPU,filtration,0,filtration,0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
RAM,filtration,0,filtration,0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
CPU,filtration,0,filtration,5,596.5619749866731,2859.0000000000005,9.404605263157896,288.2278785960858,0.618421052631579,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
RAM,filtration,0,filtration,5,33.73633056513408,146.49999999999957,0.4819078947368407,20.959007610094517,0.8947368421052632,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterCatalogSalesWhereProfitNegative
CPU,filtration,0,filtration,150,972.0685315346856,2839.0999999999985,8.065624999999995,294.60677181626346,0.6704545454545454,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterStoreSalesWhereProfitNegative
RAM,filtration,0,filtration,150,38.56423213289745,444.9999999999999,1.2642045454545452,30.73548437880881,0.2784090909090909,0,1,1.0,1.0,filterCatalogSalesWhereProfitNegative,filterStoreSalesWhereProfitNegative
